	zscore	H_statistic	H_pvalue	S0S2_pvalue	S0S3_pvalue	S0S4_pvalue	S0S1_pvalue
Tlr2	1.5369549989700317	94.74966245300475	2.0898458955901274e-20	6.9131208064021414e-09	1.8621148377494558e-14	7.474537947315567e-06	1.0
Atp6v1f	1.5816545486450195	93.83393965504341	3.2877247482888116e-20	0.001089548295932571	5.064610928666126e-09	2.387182712720107e-07	1.0
Pak2	1.5499552488327026	93.72420005965942	3.4711729307486026e-20	1.6437641543822122e-07	1.0730560441547999e-08	0.0008174042368029302	1.0
Iglon5	1.731862187385559	93.57773921601499	3.732048266295727e-20	1.2802953521381589e-21	2.745190999190544e-15	2.2593749268593386e-21	1.0
Slc2a12	1.731862187385559	93.57773921601499	3.732048266295727e-20	1.2802953521381589e-21	2.745190999190544e-15	2.2593749268593386e-21	1.0
Ptges3	1.614291787147522	93.29717287371938	4.2877845444259204e-20	0.0023929960994618156	8.198303018694977e-06	4.885011437510894e-07	1.0
Rbm25	1.5609674453735352	93.06121200731923	4.8187318030127586e-20	0.003909068534283895	8.812325242460636e-08	1.13967632962695e-06	1.0
AI413582	1.5691183805465698	92.76324493553456	5.584105621614048e-20	0.00021059267370540004	8.630673911074159e-08	2.5623982384826552e-08	1.0
Mirt1	1.6149036884307861	92.07992172943642	7.83003210594547e-20	0.000669373075073522	6.497003520819749e-10	2.7547027477689603e-07	1.0
Gbp3	1.5658395290374756	91.44550695842085	1.0716559366046274e-19	4.718504895950807e-07	1.9081739941783784e-08	0.0018069708506022147	1.0
Rb1cc1	1.5197317600250244	91.42042741271356	1.0850332026572568e-19	2.820805985316807e-08	2.820805985316807e-08	0.0002452589943985175	1.0
Mitd1	1.5197851657867432	91.08316490757147	1.2820150423087976e-19	2.6193649656690935e-06	1.9515523855458166e-05	0.006793535707991834	1.0
Cd24a	1.5872666835784912	90.98960876266365	1.3427345698635125e-19	0.0007083783980825304	3.444689447650712e-09	1.7486455711148796e-07	1.0
AU020206	1.6626087427139282	90.72089844575927	1.5335973104181938e-19	2.227754646297834e-09	1.603022928452553e-05	5.426622215187161e-05	1.0
Relt	1.6810702085494995	90.41050682889556	1.7880667076334024e-19	2.98430313585971e-08	0.0001104325253143165	0.00041401335735998207	1.0
Capg	1.630780577659607	90.00655664196874	2.1834783054663764e-19	2.018107401021179e-06	4.8520195445514043e-11	1.3494281091443228e-10	1.0
Xpr1	1.5715819597244263	89.84493529840718	2.365171515216265e-19	5.426012204377347e-07	2.489394557343355e-05	0.0029297142839847445	1.0
Rpl7	1.5758124589920044	89.77506459725514	2.448327863071641e-19	3.54514720687702e-07	6.90229012319142e-08	0.0013182314762840925	1.0
Abcg1	1.68699312210083	89.10152323592293	3.4160744106749273e-19	3.3664437742821006e-13	7.563076576249503e-09	7.563076576249503e-09	1.0
Mdm2	1.5371589660644531	89.08540058140805	3.4434189895941244e-19	0.0012681957163656352	9.465965604990022e-08	3.5964615954626707e-07	1.0
Gng5	1.604263424873352	88.88980067298864	3.7931230401410136e-19	5.586653845359482e-10	3.397483827736939e-12	1.8495743700461576e-06	1.0
Vmp1	1.5203838348388672	88.53029814853082	4.53107351784504e-19	0.001196115191119726	3.639007607628176e-10	1.1495782280572808e-06	1.0
Grb2	1.5647199153900146	88.432402930615	4.75580226867154e-19	4.6888971990649565e-08	1.3108927120606492e-10	0.00015943351661577178	1.0
Cox7a2l	1.5663480758666992	87.52933174365515	7.432643804235719e-19	2.40793989798037e-06	5.7137873652632896e-05	0.005792118493884159	1.0
Leprotl1	1.561995506286621	87.3983923371939	7.929732869968493e-19	3.1394987264913892e-06	0.00036017481187318006	0.009376680499526715	1.0
Erp29	1.614660620689392	87.1165671150118	9.115286636574376e-19	3.291918209300379e-07	1.9516940378728264e-05	0.0017609356944923431	1.0
Cpd	1.5223519802093506	86.95844465686037	9.856448508432445e-19	1.9881533228834687e-06	1.9613713552574585e-05	0.004636214129341292	1.0
Lhfpl2	1.6266437768936157	86.4725967109478	1.2532320765832472e-18	0.0009161720898213362	4.258109465523949e-06	1.6394910868791384e-07	1.0
Efhd2	1.6215145587921143	86.0217132782784	1.5661373292538636e-18	0.0009170091976610504	4.8450834032279236e-08	3.3142059788205996e-07	1.0
Cnot4	1.665432095527649	85.68845286851625	1.8465986258030996e-18	4.184971070528683e-05	5.154539948337417e-07	3.4513372850817598e-09	1.0
Ptpn12	1.5696011781692505	85.12965994987721	2.434020896251599e-18	2.0292685205797093e-06	2.0292685205797093e-06	0.0037493744039141627	1.0
Pacsin2	1.6603355407714844	84.82487620614566	2.8297373912090702e-18	1.3786833412465525e-09	1.9880025280444473e-07	1.7888007767634984e-05	1.0
Map4k4	1.5863677263259888	83.77441257677536	4.755624053156475e-18	0.0007425605796739323	5.806658511851121e-07	2.7720798674717515e-07	1.0
Apobec1	1.5859352350234985	83.74893941628464	4.815866361102383e-18	2.180901033034115e-08	4.942373777800926e-08	0.00011984807301643647	1.0
